UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,AIRCRAFT_TYPE,MONTH
04Q,Tradewind Aviation,12197,16856,479,10
04Q,Tradewind Aviation,10721,13541,479,10
04Q,Tradewind Aviation,10721,12222,479,10
04Q,Tradewind Aviation,10721,10154,479,10
04Q,Tradewind Aviation,10721,15096,479,10
04Q,Tradewind Aviation,10721,12391,479,10
04Q,Tradewind Aviation,10721,12197,479,10
04Q,Tradewind Aviation,13282,11764,479,10
04Q,Tradewind Aviation,15167,12070,479,10
04Q,Tradewind Aviation,15167,16526,479,10
04Q,Tradewind Aviation,15167,14259,479,10
04Q,Tradewind Aviation,15167,14875,479,10
04Q,Tradewind Aviation,15167,10589,479,10
04Q,Tradewind Aviation,15167,13541,479,10
04Q,Tradewind Aviation,15167,10154,479,10
04Q,Tradewind Aviation,15167,10990,479,10
04Q,Tradewind Aviation,15167,15096,479,10
04Q,Tradewind Aviation,15167,10647,479,10
04Q,Tradewind Aviation,15167,12264,479,10
04Q,Tradewind Aviation,15167,10540,479,10
04Q,Tradewind Aviation,15167,10721,479,10
04Q,Tradewind Aviation,15167,11537,479,10
04Q,Tradewind Aviation,15167,13296,479,10
04Q,Tradewind Aviation,15167,13731,479,10
04Q,Tradewind Aviation,15167,16503,479,10
04Q,Tradewind Aviation,15167,12397,479,10
04Q,Tradewind Aviation,13121,12197,479,10
04Q,Tradewind Aviation,15376,15167,479,10
04Q,Tradewind Aviation,10135,10540,479,10
04Q,Tradewind Aviation,13731,10154,479,10
04Q,Tradewind Aviation,13731,14100,479,10
04Q,Tradewind Aviation,13731,12197,479,10
04Q,Tradewind Aviation,13731,15167,479,10
04Q,Tradewind Aviation,10198,12197,479,10
04Q,Tradewind Aviation,10478,11135,479,10
04Q,Tradewind Aviation,12478,14400,479,10
04Q,Tradewind Aviation,10504,12197,479,10
04Q,Tradewind Aviation,10504,12244,479,10
04Q,Tradewind Aviation,10945,12197,479,10
04Q,Tradewind Aviation,10975,10815,479,10
04Q,Tradewind Aviation,10975,11728,479,10
04Q,Tradewind Aviation,10975,16777,479,10
04Q,Tradewind Aviation,11106,12953,479,10
04Q,Tradewind Aviation,11135,10478,479,10
04Q,Tradewind Aviation,11486,12388,479,10
04Q,Tradewind Aviation,11675,10154,479,10
04Q,Tradewind Aviation,11675,12264,479,10
04Q,Tradewind Aviation,11675,12197,479,10
04Q,Tradewind Aviation,16526,15167,479,10
04Q,Tradewind Aviation,16526,14321,479,10
04Q,Tradewind Aviation,14321,15167,479,10
04Q,Tradewind Aviation,14524,14100,479,10
04Q,Tradewind Aviation,12130,14100,479,10
04Q,Tradewind Aviation,14576,10721,479,10
04Q,Tradewind Aviation,12222,14255,479,10
04Q,Tradewind Aviation,12222,10821,479,10
04Q,Tradewind Aviation,12222,14100,479,10
04Q,Tradewind Aviation,12222,12197,479,10
04Q,Tradewind Aviation,12222,10721,479,10
04Q,Tradewind Aviation,12222,15167,479,10
04Q,Tradewind Aviation,12222,14321,479,10
04Q,Tradewind Aviation,12222,13008,479,10
04Q,Tradewind Aviation,12222,16479,479,10
04Q,Tradewind Aviation,12394,12197,479,10
04Q,Tradewind Aviation,13008,15167,479,10
04Q,Tradewind Aviation,16479,12222,479,10
04Q,Tradewind Aviation,13236,10589,479,10
04Q,Tradewind Aviation,16503,11764,479,10
04Q,Tradewind Aviation,16503,12197,479,10
04Q,Tradewind Aviation,12397,15167,479,10
04Q,Tradewind Aviation,13321,14574,479,10
04Q,Tradewind Aviation,13493,11537,479,10
04Q,Tradewind Aviation,13505,11862,479,10
04Q,Tradewind Aviation,13674,12197,479,10
04Q,Tradewind Aviation,13781,12250,479,10
04Q,Tradewind Aviation,16442,13505,479,10
04Q,Tradewind Aviation,16498,12250,479,10
04Q,Tradewind Aviation,16498,15167,479,10
04Q,Tradewind Aviation,14255,12222,479,10
04Q,Tradewind Aviation,12244,12595,646,10
04Q,Tradewind Aviation,12587,10135,646,10
04Q,Tradewind Aviation,12587,12197,646,10
04Q,Tradewind Aviation,12595,11697,646,10
04Q,Tradewind Aviation,15412,12478,646,10
04Q,Tradewind Aviation,12250,15304,646,10
04Q,Tradewind Aviation,14259,14938,646,10
04Q,Tradewind Aviation,10868,10154,646,10
04Q,Tradewind Aviation,12932,14027,646,10
04Q,Tradewind Aviation,11953,14996,646,10
04Q,Tradewind Aviation,10154,14255,646,10
04Q,Tradewind Aviation,10154,12197,646,10
04Q,Tradewind Aviation,10154,14027,646,10
04Q,Tradewind Aviation,10927,14027,646,10
04Q,Tradewind Aviation,11728,14027,646,10
04Q,Tradewind Aviation,13398,14027,646,10
04Q,Tradewind Aviation,13987,12124,646,10
04Q,Tradewind Aviation,13987,15380,646,10
04Q,Tradewind Aviation,12451,16509,646,10
04Q,Tradewind Aviation,10208,12197,646,10
04Q,Tradewind Aviation,14100,14027,646,10
04Q,Tradewind Aviation,11697,12244,646,10
04Q,Tradewind Aviation,12197,15412,646,10
04Q,Tradewind Aviation,12197,10208,646,10
04Q,Tradewind Aviation,12197,10519,646,10
04Q,Tradewind Aviation,12197,14027,646,10
04Q,Tradewind Aviation,12197,10980,646,10
04Q,Tradewind Aviation,14027,10154,646,10
04Q,Tradewind Aviation,14027,12197,646,10
04Q,Tradewind Aviation,14027,10721,646,10
04Q,Tradewind Aviation,10980,11728,646,10
04Q,Tradewind Aviation,14255,10868,646,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13256,10397,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11042,11267,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11042,10590,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11433,11193,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11433,13930,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11433,11618,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11433,10590,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11433,14696,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11193,11433,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11193,11193,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11193,11540,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11193,11995,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11193,14869,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11193,14679,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11193,13487,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11193,14570,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11193,13342,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11193,14107,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",11193,13204,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13303,11193,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13303,11150,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13303,13061,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13303,13577,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13303,14122,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13303,10397,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13303,14843,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13303,13277,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13303,12206,614,10
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13930,11433,614,10
